angles,ranges
166.4029,119.7
166.49527,119.7
166.56166,118.1
166.62499,119.7
166.66499,118.2
166.75165,118.2
166.80187,118.1
167.02603,118.1
167.07054,118.2
167.16291,118.1
167.23082,118.1
167.30332,118.1
167.3311,118.2
167.40249,118.2
167.46875,118.1
167.68833,118.1
167.68999,118.1
167.73818,118.2
167.83055,118.1
167.98166,118.1
167.99721,116.6
168.05332,118.2
168.13562,116.6
168.33242,118.1
168.35061,118.1
168.40582,118.2
168.49819,118.1
168.65999,116.6
168.70416,118.2
168.89999,118.1
168.97486,118.1
169.01291,116.6
169.07346,116.6
169.16583,116.6
169.33832,116.6
169.35499,116.6
169.5745,116.6
169.61729,116.6
169.6752,116.6
169.7411,116.6
169.83347,116.6
169.83999,116.6
170.00582,115.1
170.01665,116.6
170.02,116.6
170.24901,116.6
170.25972,116.6
170.40874,116.6
170.50111,115
170.53818,116.6
170.65665,115.1
170.68229,116.6
170.69499,115
170.90215,115
170.92353,115
171.07637,115.1
171.16875,113.5
171.23638,115
171.30749,113.5
171.34458,115
171.37332,115
171.54458,115
171.59804,115
171.69999,115
171.74401,115.1
171.83639,115
171.93457,115
171.95832,115.1
172.00687,115
172.05166,115
172.18701,115
172.27256,115
172.36686,115
172.50403,113.5
172.60916,113.5
172.63277,113.5
172.66916,115
172.82944,113.4
172.94707,115
173.03374,115
173.33096,113.5
173.33146,113.5
173.47187,113.4
173.62159,113.4
173.70061,113.5
173.82999,115
173.99374,113.5
174.02915,113.5
174.1143,113.4
174.2961,113.4
174.36749,113.5
174.49763,113.5
174.65604,113.5
174.72735,113.5
174.75673,113.4
174.97061,113.4
175.03436,113.5
175.16527,113.5
175.31833,111.9
175.42554,113.5
175.64512,113.4
175.70124,113.5
175.83291,113.5
175.88,113.5
175.98062,111.9
176.12374,111.9
176.31964,111.9
176.36812,111.9
176.50055,111.9
176.54458,111.9
176.64291,111.9
176.82193,111.9
177.03499,111.9
177.16819,111.9
177.20917,111.9
177.30521,111.9
177.42998,111.9
177.52013,111.9
177.70186,111.9
177.83583,111.9
177.87375,111.9
178.09839,111.9
178.36874,111.9
178.50347,111.9
178.53833,111.9
178.76679,111.9
179.03561,110.3
179.17111,111.9
179.20292,110.4
179.43519,110.4
179.83874,110.4
179.8675,110.4
180.10359,110.4
180.50638,110.4
180.53208,110.4
180.772,110.4
181.17402,110.4
181.19667,110.4
181.32999,110.3
181.4404,110.4
181.86125,110.4
182.00833,110.3
182.04999,110.3
182.1088,110.4
182.10999,110.4
182.52583,110.4
182.68666,110.3
182.73597,110.3
182.77152,110.4
182.7772,110.4
183.19042,108.8
183.365,110.3
183.42194,110.3
183.43305,110.4
183.44561,108.8
184.04333,110.3
184.09458,108.8
184.10791,110.3
184.11401,110.4
184.72166,110.3
184.7561,110.4
184.78241,108.8
184.79388,110.3
185.35,110.3
185.39999,110.3
185.39999,110.3
185.41763,108.8
185.47986,110.3
186.02451,108.8
186.07603,110.3
186.07833,110.3
186.07916,108.8
186.16583,108.8
186.69903,108.8
